entity,code,year,unsafe_water_source,unsafe_sanitation,no_access_handwashing,sum,unsafe_water_perct,unsafe_sanitation_perct,no_handwashing_perct
Afghanistan,AFG,2017,5256.649275657913,3783.111116686189,4156.209013292295,281539.4884997006,1.8671090523287297,1.3437230907984021,1.4762437182223958
Albania,ALB,2017,4.091663843299665,1.5979068485093384,4.5013012356546085,33143.859240424434,0.012345164193520356,0.004821124893507953,0.013581101714807324
Algeria,DZA,2017,189.93609663555972,58.910621573181814,191.730461755334,237740.5650323774,0.07989217010975502,0.024779373080550594,0.08064692776734278
American Samoa,ASM,2017,0.7200564599153209,0.17920528941780564,0.2937691232920192,2456.1209586836053,0.029316815907195624,0.007296272961811025,0.011960694454131003
Andorra,AND,2017,0.027021517297012743,0.01848820225168187,0.2063063499377336,2510.5196205956463,0.0010763316516363896,0.000736429307303934,0.008217675267114038
Angola,AGO,2017,14656.918214629799,9615.55665341653,9735.710078186556,183861.75722207432,7.971705718512571,5.229775239123023,5.29512511208486
Antigua and Barbuda,ATG,2017,1.0406824249036406,0.32851653728541985,1.7781305506355287,2607.2759857562446,0.03991454800293376,0.01259999091312664,0.06819878525900583
Argentina,ARG,2017,267.13916696803994,68.63580740627279,541.1825861301313,333136.3800209112,0.08018913063510849,0.020602915659335815,0.16245076148577975
Armenia,ARM,2017,3.045522970160869,4.3792854168186865,12.664884505504114,45787.3870632215,0.006651445224327227,0.009564392505673962,0.02766020364520238
Australia,AUS,2017,26.6951586165474,5.672184964055709,57.88102160954834,151515.07888907156,0.01761881313218447,0.00374364387072555,0.03820149257350462
Austria,AUT,2017,2.4070161979045124,6.282777685384606,8.644877368514928,92259.81772788023,0.0026089539923046367,0.00680987437447104,0.009370143559152633
Azerbaijan,AZE,2017,89.05113818790664,86.75303303377345,67.60196523686129,131177.19854141056,0.06788614117246498,0.06613423216717568,0.05153484446118921
Bahamas,BHS,2017,2.7077968927360043,0.5697134315353704,4.704792551151073,4584.232937240492,0.059067611306112634,0.012427671964643073,0.10262987539161028
Bahrain,BHR,2017,4.737998729295866,1.190416055688564,3.650144168307156,6921.886423404192,0.06844953007717385,0.017197855943771986,0.0527333727402018
Bangladesh,BGD,2017,25397.4982697344,17744.992604291914,16129.921134858183,1116940.38521903,2.2738454626433797,1.5887143879046106,1.4441165659611397
Barbados,BRB,2017,2.528326566211339,0.8103610716261903,9.033550950745463,4850.638998445489,0.05212357726521404,0.016706274614249613,0.18623424570743144
Belarus,BLR,2017,4.639462352594705,3.666460599812511,13.961337388356672,208145.8396244937,0.0022289479150602027,0.0017614863724526048,0.0067074784744886925
Belgium,BEL,2017,21.015794927078854,13.572910393114094,51.11025298296952,105557.45264749521,0.019909342637568415,0.01285831559277986,0.04841936945338205
Belize,BLZ,2017,9.509475005079947,4.009414335657353,8.818269087724044,3964.7855097226134,0.23984841000251875,0.10112563027243969,0.22241478299644493
Benin,BEN,2017,5266.971855090171,4114.532298963558,3904.8674173427416,71760.54044936618,7.339649091420257,5.733697479420111,5.441524538263468
Bermuda,BMU,2017,0.2960400926691645,0.04521685972542056,0.6576261526857025,2545.581247589079,0.011629567626236412,0.001776288215834614,0.025834027230855056
Bhutan,BTN,2017,84.07763476038394,61.96811598197964,25.064533166525926,6357.798979950097,1.3224330468064573,0.9746787556102636,0.3942328665245509
Bolivia,BOL,2017,326.3299581160643,147.8474071196737,330.78400758846004,63987.92085193634,0.5099868127785703,0.23105518221444085,0.5169475788311227
Bosnia and Herzegovina,BIH,2017,3.3436956188950355,1.0292706919725485,3.0657227193083307,61157.25155888671,0.00546737391505483,0.0016829904316113533,0.005012852345655898
Botswana,BWA,2017,414.35420945086764,282.83877617973263,291.58271494881865,18868.39659423124,2.196022366720609,1.4990080093303044,1.5453497253601622
Brazil,BRA,2017,2957.7520139220833,2231.3215414933834,3710.661581738205,1332175.0841347487,0.22202427061928962,0.16749461599055748,0.27854158405524376
Brunei,BRN,2017,0.4179566709538627,0.09276806212780836,1.1286414867612289,4046.7940879324724,0.010328093346785501,0.0022923840480157474,0.027889768103764763
Bulgaria,BGR,2017,8.611547094769104,0.719961000595845,10.225453838370925,177840.25737148328,0.004842293427849012,0.0004048357842240116,0.005749797031057703
Burkina Faso,BFA,2017,10444.27159342479,8121.42077350447,8171.129250082119,156545.69014756533,6.671708166209918,5.187891640995636,5.219644975457154
Burundi,BDI,2017,4585.432146840674,3517.1684869971077,3533.181458239589,78928.03097420049,5.809637070940655,4.456171582624148,4.476459648910403
Cambodia,KHM,2017,1242.053553768809,811.2047488575392,945.582363633972,112169.16213044818,1.1073039418127695,0.7231976538383528,0.8429967253694006
Cameroon,CMR,2017,10469.624478268515,7646.251520914931,7701.192549776833,174529.55631601805,5.998768746831238,4.3810639769632935,4.412543475348324
Canada,CAN,2017,47.82314360783391,61.042862498907844,91.83967058253866,261277.30870602542,0.01830359622298538,0.023363246812829756,0.035150266602704296
Cape Verde,CPV,2017,24.14952430013213,15.545554841420975,42.072320666228826,4948.560212403602,0.4880111237123309,0.3141429865288075,0.8501931644839694
Central African Republic,CAF,2017,5129.302510911883,3944.7603991056535,3249.2233743566167,67798.43841551087,7.565517187101473,5.818364687000186,4.792475240275242
Chad,TCD,2017,21210.828808576367,16517.250814639283,13485.452890880071,184197.94722051342,11.515236260034822,8.96711991847856,7.3211743639769775
Chile,CHL,2017,100.05418722552784,57.354208153370436,86.6902177012858,113362.6563079183,0.08826027060777256,0.05059356407244339,0.07647158290452882
China,CHN,2017,3886.420648294703,2405.4587268266573,5348.404260628214,15129255.076436177,0.025688116359065198,0.015899386418391215,0.03535140516573322
Colombia,COL,2017,520.1231751038613,116.56800723469131,382.4000050098835,223912.25746562437,0.23228883536387554,0.05205968112424,0.1707811842630324
Comoros,COM,2017,219.3140577130877,171.84468467440786,167.78304012101418,6532.586448806668,3.35723161770252,2.63057651086729,2.5684013741856218
Congo,COG,2017,1707.2787170944275,1272.3052819115105,1196.174172569902,40560.862383393905,4.20917755879226,3.1367806480179947,2.9490846650726783
Costa Rica,CRI,2017,37.37146848513589,4.237475774499283,39.8113790164679,24638.433947482023,0.15167956114741274,0.017198640885746477,0.16158242484618837
Cote d'Ivoire,CIV,2017,9363.352589402297,6735.50856826801,7127.215859563281,176770.05298523576,5.296911117735732,3.810322197974662,4.031913629713378
