entity,code,year,unsafe_water_source,unsafe_sanitation,no_access_handwashing,sum,unsafe_water_perct,unsafe_sanitation_perct,no_handwashing_perct,country_name,safe_water_2017
Estonia,EST,2017,0.7475934694062275,0.3349913221999325,2.3491464790347143,23622.873857749273,0.0031647016104307995,0.0014180803073206166,0.009944372108070575,Estonia,93.3329932232526
Ethiopia,ETH,2017,47812.20061057915,38734.89430107173,33326.92687361701,514261.82150273916,9.297248718729644,7.53213493233532,6.480536854987882,Ethiopia,11.4447731632854
Finland,FIN,2017,1.1379682901424577,0.8730445550450628,5.339278799835517,58089.96802896555,0.0019589755834863425,0.0015029179472258178,0.009191395659183662,Finland,99.6331271382408
France,FRA,2017,59.22350103548915,28.992320372499947,156.93180604391853,482784.5595354379,0.012267066099312971,0.006005229413384299,0.0325055561418383,France,97.85376001276258
Georgia,GEO,2017,8.558750592273629,8.13530777879152,16.30380261294255,88772.3136061499,0.00964123863014955,0.009164239894529379,0.01836586425501596,Georgia,79.9946791951721
Germany,DEU,2017,116.63791863554115,88.07582295180619,249.2797062754329,1032165.4888118712,0.011300311810444604,0.008533110620971307,0.02415113748497632,Germany,99.8
Ghana,GHA,2017,6144.396115254177,4344.982817916605,5685.703735467395,191715.57310311476,3.204954097260214,2.2663692612908624,2.9656973835971705,Ghana,36.4116127604727
Greece,GRC,2017,0.8533715014753671,1.3561608981053457,25.735042681457273,139938.4440482861,0.0006098192010630826,0.0009691124603596415,0.018390259271839078,Greece,100.0
Greenland,GRL,2017,0.07837578308046438,0.15326709384233875,0.12023484827772897,2449.4883725528184,0.003199679735518906,0.006257106404738969,0.004908569872182005,Greenland,96.74768358534669
Grenada,GRD,2017,1.2383480872732853,0.5629623509120645,4.424108533241721,3317.1707775682075,0.03733145413095399,0.01697115972198356,0.13336993570421482,Grenada,87.11526835165908
Guam,GUM,2017,0.7793743772751123,0.09895440229983553,0.6725660104558866,3797.2798971387465,0.02052454384156331,0.0026059285852064198,0.017711783926243247,Guam,99.5411734842493
Guatemala,GTM,2017,2236.886586040511,1320.8294786010035,1200.0735348019107,90642.8237179598,2.467803290198359,1.4571804191701243,1.3239586826376972,Guatemala,55.99078168646621
Hungary,HUN,2017,58.49692871196318,27.640403441591864,11.374052372224902,189555.48557162946,0.030860055848849748,0.014581695358611542,0.006000381544182145,Hungary,89.5727619781719
Iceland,ISL,2017,0.1357147982307279,0.09080925476326117,0.6909521710273399,4086.3446772140646,0.003321178435766554,0.00222226126125934,0.01690880788593703,Iceland,99.9999994306847
Iran,IRN,2017,442.6572973018866,129.08409368930492,337.7762603300584,467861.38852922595,0.09461291488349334,0.027590242933937137,0.07219579743305927,"Iran, Islamic Rep.",91.7952932363218
